,0
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,1
311,1
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,1
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,0
598,0
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,1
613,0
614,1
615,0
616,0
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,1
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,0
651,1
652,1
653,1
654,1
655,0
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,0
673,1
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,0
705,1
706,0
707,1
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,1
716,0
717,0
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,1
726,1
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,0
744,1
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,1
792,1
793,0
794,1
795,0
796,1
797,1
798,0
799,1
800,0
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,0
827,1
828,1
829,1
830,0
831,0
832,0
833,1
834,0
835,1
836,0
837,0
838,1
839,0
840,1
841,0
842,0
843,0
844,1
845,1
846,0
847,1
848,1
849,0
850,1
851,0
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,1
860,0
861,0
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,0
876,1
877,0
878,0
879,0
880,1
881,1
882,1
883,1
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,1
892,0
893,0
894,1
895,1
896,0
897,1
898,1
899,1
900,0
901,0
902,1
903,0
904,0
905,1
906,1
907,1
908,0
909,1
910,1
911,1
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,0
932,1
933,1
934,0
935,1
936,1
937,1
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,0
948,1
949,1
950,0
951,0
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,1
960,1
961,1
962,0
963,1
964,0
965,0
966,1
967,1
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,1
982,1
983,0
984,1
985,1
986,0
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,0
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,1
